hour,minute,day_of_week,is_holiday,demand,demand_next
0,0,6,1,86.59791064487256,83.32887332279361
0,5,6,1,83.32887332279361,95.9720788251567
0,10,6,1,95.9720788251567,91.64854697902885
0,15,6,1,91.64854697902885,82.15164163331198
0,20,6,1,82.15164163331198,82.60000718550603
0,25,6,1,82.60000718550603,92.40611446941776
0,30,6,1,92.40611446941776,90.35459984814386
0,35,6,1,90.35459984814386,89.76483496675318
0,40,6,1,89.76483496675318,93.43113311684702
0,45,6,1,93.43113311684702,94.47128082128195
0,50,6,1,94.47128082128195,93.90003957677791
0,55,6,1,93.90003957677791,95.0704079651507
1,0,6,1,95.0704079651507,105.01565013697258
1,5,6,1,105.01565013697258,99.9386413119875
1,10,6,1,99.9386413119875,95.30255207446746
1,15,6,1,95.30255207446746,101.86311484671698
1,20,6,1,101.86311484671698,94.69675120715401
1,25,6,1,94.69675120715401,97.13655190324931
1,30,6,1,97.13655190324931,96.8214547905036
1,35,6,1,96.8214547905036,94.61010510256756
1,40,6,1,94.61010510256756,99.72658492610688
1,45,6,1,99.72658492610688,105.08027240875698
1,50,6,1,105.08027240875698,103.65364082414256
1,55,6,1,103.65364082414256,90.51565221170287
2,0,6,1,90.51565221170287,95.78467847823123
2,5,6,1,95.78467847823123,102.29349822597106
2,10,6,1,102.29349822597106,98.04105282802553
2,15,6,1,98.04105282802553,99.89358452482178
2,20,6,1,99.89358452482178,103.97048654815471
2,25,6,1,103.97048654815471,93.63165686312169
2,30,6,1,93.63165686312169,106.11621461121362
2,35,6,1,106.11621461121362,109.19228091289287
2,40,6,1,109.19228091289287,100.2030267094987
2,45,6,1,100.2030267094987,98.29008633819302
2,50,6,1,98.29008633819302,101.79319229318284
2,55,6,1,101.79319229318284,96.44001859534859
3,0,6,1,96.44001859534859,99.2484284605974
3,5,6,1,99.2484284605974,100.3448308724811
3,10,6,1,100.3448308724811,107.957379378066
3,15,6,1,107.957379378066,115.24181381176778
3,20,6,1,115.24181381176778,110.30317916251283
3,25,6,1,110.30317916251283,105.68760190056129
3,30,6,1,105.68760190056129,104.64549341188703
3,35,6,1,104.64549341188703,108.92485273069657
3,40,6,1,108.92485273069657,111.09298929338375
3,45,6,1,111.09298929338375,109.3313254415281
3,50,6,1,109.3313254415281,102.39471150569568
3,55,6,1,102.39471150569568,110.9412914717654
4,0,6,1,110.9412914717654,106.7827992661792
4,5,6,1,106.7827992661792,109.59005898995066
4,10,6,1,109.59005898995066,108.26905232535319
4,15,6,1,108.26905232535319,106.95405725992235
4,20,6,1,106.95405725992235,107.32045280284908
4,25,6,1,107.32045280284908,112.01460104308195
4,30,6,1,112.01460104308195,107.40236894445837
4,35,6,1,107.40236894445837,107.12948912980188
4,40,6,1,107.12948912980188,101.37951773778039
4,45,6,1,101.37951773778039,114.22410299598691
4,50,6,1,114.22410299598691,112.3294895615043
4,55,6,1,112.3294895615043,111.03809141297496
5,0,6,1,111.03809141297496,115.90634467092217
5,5,6,1,115.90634467092217,113.67311410239691
5,10,6,1,113.67311410239691,111.81040681269397
5,15,6,1,111.81040681269397,109.83730517184041
5,20,6,1,109.83730517184041,106.14618985126158
5,25,6,1,106.14618985126158,110.76764201839748
5,30,6,1,110.76764201839748,113.5900186916336
5,35,6,1,113.5900186916336,118.41036514120526
5,40,6,1,118.41036514120526,107.67815727803809
5,45,6,1,107.67815727803809,104.25946876008915
5,50,6,1,104.25946876008915,117.03416405626709
5,55,6,1,117.03416405626709,108.27076771728892
6,0,6,1,108.27076771728892,109.05622308631398
6,5,6,1,109.05622308631398,112.46115472585711
6,10,6,1,112.46115472585711,100.63404715707122
6,15,6,1,100.63404715707122,118.74917267376023
6,20,6,1,118.74917267376023,108.674358291158
6,25,6,1,108.674358291158,112.93325273973416
6,30,6,1,112.93325273973416,116.72521096462435
6,35,6,1,116.72521096462435,109.35880455438208
6,40,6,1,109.35880455438208,100.30291377393634
6,45,6,1,100.30291377393634,110.94628008190499
6,50,6,1,110.94628008190499,105.41362904141968
6,55,6,1,105.41362904141968,119.47090464067995
7,0,6,1,119.47090464067995,109.79196522452456
7,5,6,1,109.79196522452456,105.22648878921234
7,10,6,1,105.22648878921234,109.63780764656944
7,15,6,1,109.63780764656944,101.32014105535326
7,20,6,1,101.32014105535326,104.88370474143393
7,25,6,1,104.88370474143393,104.42627113188007
7,30,6,1,104.42627113188007,116.00562509739322
7,35,6,1,116.00562509739322,102.51062460590197
7,40,6,1,102.51062460590197,106.99848712874854
7,45,6,1,106.99848712874854,109.31859705990563
7,50,6,1,109.31859705990563,109.78930686773396
7,55,6,1,109.78930686773396,105.96940441973126
8,0,6,1,105.96940441973126,121.7686666835946
8,5,6,1,121.7686666835946,109.7197503238316
8,10,6,1,109.7197503238316,107.49625989464116
8,15,6,1,107.49625989464116,103.01843053985148
8,20,6,1,103.01843053985148,106.55626174321569
8,25,6,1,106.55626174321569,113.35906748562266
8,30,6,1,113.35906748562266,110.6635993937396
8,35,6,1,110.6635993937396,101.20424528634787
8,40,6,1,101.20424528634787,93.80785789998399
8,45,6,1,93.80785789998399,110.61628105131159
8,50,6,1,110.61628105131159,107.20849615456211
8,55,6,1,107.20849615456211,101.75582772781125
9,0,6,1,101.75582772781125,95.91876448376549
9,5,6,1,95.91876448376549,105.46582738250831
9,10,6,1,105.46582738250831,102.31336729080071
9,15,6,1,102.31336729080071,104.02683097777724
9,20,6,1,104.02683097777724,101.02309645801618
9,25,6,1,101.02309645801618,103.22817232615279
9,30,6,1,103.22817232615279,106.69899332380966
9,35,6,1,106.69899332380966,105.71010978260784
9,40,6,1,105.71010978260784,102.2231360534031
9,45,6,1,102.2231360534031,100.67182379267871
9,50,6,1,100.67182379267871,97.06930321099114
9,55,6,1,97.06930321099114,101.28008102801682
10,0,6,1,101.28008102801682,100.86640426140809
10,5,6,1,100.86640426140809,100.65430235281916
10,10,6,1,100.65430235281916,98.15524027682314
10,15,6,1,98.15524027682314,94.34211382552499
10,20,6,1,94.34211382552499,92.32890584558481
10,25,6,1,92.32890584558481,94.6727241617296
10,30,6,1,94.6727241617296,101.42809290508198
10,35,6,1,101.42809290508198,103.34520466576483
10,40,6,1,103.34520466576483,97.36876422382676
10,45,6,1,97.36876422382676,96.2312813585524
10,50,6,1,96.2312813585524,102.09650699965428
10,55,6,1,102.09650699965428,95.09247852863672
11,0,6,1,95.09247852863672,90.97524981661634
11,5,6,1,90.97524981661634,99.3102520493073
11,10,6,1,99.3102520493073,88.09954314612098
11,15,6,1,88.09954314612098,94.46276074025512
11,20,6,1,94.46276074025512,91.78801822246803
11,25,6,1,91.78801822246803,92.49937226996974
11,30,6,1,92.49937226996974,91.44979955896778
11,35,6,1,91.44979955896778,104.51491192935597
11,40,6,1,104.51491192935597,78.51403292774468
11,45,6,1,78.51403292774468,88.60793443203194
11,50,6,1,88.60793443203194,92.12181610853402
11,55,6,1,92.12181610853402,85.21933663551796
12,0,6,1,85.21933663551796,98.5947050764303
12,5,6,1,98.5947050764303,85.6480313286214
12,10,6,1,85.6480313286214,85.83055332045208
12,15,6,1,85.83055332045208,90.22224526909156
12,20,6,1,90.22224526909156,90.33939473567091
12,25,6,1,90.33939473567091,94.08843848288102
12,30,6,1,94.08843848288102,90.50372726089697
12,35,6,1,90.50372726089697,84.69329626780859
12,40,6,1,84.69329626780859,82.76131069144752
12,45,6,1,82.76131069144752,87.09699415309663
12,50,6,1,87.09699415309663,81.29071100663735
12,55,6,1,81.29071100663735,81.87999002343889
13,0,6,1,81.87999002343889,86.855567570937
13,5,6,1,86.855567570937,84.4298490226528
13,10,6,1,84.4298490226528,86.51142762590956
13,15,6,1,86.51142762590956,79.98558871576084
13,20,6,1,79.98558871576084,88.23003807094753
13,25,6,1,88.23003807094753,78.37605984145256
13,30,6,1,78.37605984145256,83.25408825764008
13,35,6,1,83.25408825764008,72.75543101348049
13,40,6,1,72.75543101348049,81.41042384608987
13,45,6,1,81.41042384608987,79.24498185759876
13,50,6,1,79.24498185759876,75.55639213541193
13,55,6,1,75.55639213541193,77.96945314386863
14,0,6,1,77.96945314386863,79.33051951694762
14,5,6,1,79.33051951694762,78.12640224068357
14,10,6,1,78.12640224068357,87.76988743769431
14,15,6,1,87.76988743769431,77.87790965182312
14,20,6,1,77.87790965182312,74.36130613802632
14,25,6,1,74.36130613802632,78.58144802761105
14,30,6,1,78.58144802761105,70.15192843803787
14,35,6,1,70.15192843803787,72.04091626851978
14,40,6,1,72.04091626851978,73.2953309604903
14,45,6,1,73.2953309604903,73.07637143136115
14,50,6,1,73.07637143136115,77.83964726036831
14,55,6,1,77.83964726036831,77.26757769615106
15,0,6,1,77.26757769615106,77.21015267929384
15,5,6,1,77.21015267929384,76.19742405795905
15,10,6,1,76.19742405795905,66.55639910225634
15,15,6,1,66.55639910225634,71.002524471568
15,20,6,1,71.002524471568,73.14417873854472
15,25,6,1,73.14417873854472,73.46258729400397
15,30,6,1,73.46258729400397,67.55833738928008
15,35,6,1,67.55833738928008,76.15888038983651
